# Server version 0.08 running on 192.168.2.10:8123
# Game ID: 235
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 00:20:28 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260467234', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 3
PIT 1 21
PIT 0 10
PIT 1 22
PIT 0 19
PIT 1 9
PIT 0 2
PIT 1 29
PIT 0 12
PIT 1 15
PIT 0 1
PIT 1 3
PIT 0 0
PIT 1 21
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 00:20:29 EDT 2016
